Date,Rock,Other,Metal,Jazz
03/01/2022,0,0,0,0
03/02/2022,0,0,0,0
03/03/2022,32.33,0,0,0
03/04/2022,27.04,0,0,0
03/05/2022,0,0,0,0
03/06/2022,3.9,0,0,0
03/07/2022,115.5,0,43.22,0
03/08/2022,34.72,0,0,0
03/09/2022,22.919999999999998,0,0,0
03/10/2022,47.26,0,35.58,0
03/11/2022,156.16,0,22.060000000000002,0
03/12/2022,65.57,0,0,0
03/13/2022,25.6,0,0,0
03/14/2022,36.620000000000005,0,0,0
03/15/2022,65.08,0,0,0
03/16/2022,15.049999999999999,0,0,0
03/17/2022,3.85,0,7.37,0
03/18/2022,14.89,0,0,0
03/19/2022,33.26,0,0,0
03/20/2022,0,0,10.45,0
03/21/2022,127.13000000000001,0,17.96,33.58
03/22/2022,23.250000000000004,0,10.530000000000001,0
03/23/2022,20.45,0,0,0
03/24/2022,0,0,0,0
03/25/2022,94.16999999999999,32.63,0,0
03/26/2022,33.370000000000005,4.3,0,0
03/27/2022,54.78000000000001,0,0,0
03/28/2022,55.559999999999995,0,0,0
03/29/2022,51.11,29.06,24.36,43.91
03/30/2022,14.58,0,0,0
03/31/2022,8.93,0,13.040000000000001,0
04/01/2022,80.88,0,16.74,40.28
04/02/2022,0,0,0,0
04/03/2022,0,0,0,0
04/04/2022,0,0,0,0
04/05/2022,42.15,0,0,0
04/06/2022,20.14,0,0,0
04/07/2022,71.42999999999999,0,0,0
04/08/2022,71.59,0,10.2,32.2
04/09/2022,2.03,0,0,0
04/10/2022,0,0,0,0
04/11/2022,17.53,13.28,40.9,0
04/12/2022,17.78,0,0,0
04/13/2022,0,25.57,0,0
04/14/2022,15.2,0,19.82,12.2
04/15/2022,175.82000000000002,4.3,21.339999999999996,37.66
04/16/2022,0,0,0,0
04/17/2022,40.17,0,0,0
04/18/2022,33.22,8.77,0,0
04/19/2022,15.52,0,0,0
04/20/2022,8.07,0,17.79,0
04/21/2022,63.09,0,0,0
04/22/2022,35.16,8.95,47.34,7.38
04/23/2022,79.63,0,0,0
04/24/2022,78.77000000000001,7.17,0,0
