artist	genre	03/01/2022	03/02/2022	03/03/2022	03/04/2022	03/05/2022	03/06/2022	03/07/2022	03/08/2022	03/09/2022	03/10/2022	03/11/2022	03/12/2022	03/13/2022	03/14/2022	03/15/2022	03/16/2022	03/17/2022	03/18/2022	03/19/2022	03/20/2022	03/21/2022	03/22/2022	03/23/2022	03/24/2022	03/25/2022	03/26/2022	03/27/2022	03/28/2022	03/29/2022	03/30/2022	03/31/2022	04/01/2022	04/02/2022	04/03/2022	04/04/2022	04/05/2022	04/06/2022	04/07/2022	04/08/2022	04/09/2022	04/10/2022	04/11/2022	04/12/2022	04/13/2022	04/14/2022	04/15/2022	04/16/2022	04/17/2022	04/18/2022	04/19/2022	04/20/2022	04/21/2022	04/22/2022	04/23/2022	04/24/2022
Harrison Fjord	Psychedelic Rock	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	7.73	15.46	15.46	15.46	15.46	15.46	15.46	15.46	15.46	15.46	23.19
Thank You Scientist	Progressive Rock	0	0	62.92	116.38	116.38	116.38	116.38	116.38	116.38	116.38	116.38	116.38	116.38	140.76	168.99000000000004	168.99000000000004	168.99000000000004	168.99000000000004	168.99000000000004	168.99000000000004	230.0500000000001	230.0500000000001	230.0500000000001	230.0500000000001	230.0500000000001	237.50000000000009	237.50000000000009	310.99000000000007	310.99000000000007	310.99000000000007	327.85000000000014	435.8000000000002	435.8000000000002	435.8000000000002	435.8000000000002	435.8000000000002	435.8000000000002	568.92	568.92	570.9499999999999	570.9499999999999	570.9499999999999	570.9499999999999	570.9499999999999	570.9499999999999	609.6199999999998	609.6199999999998	609.6199999999998	609.6199999999998	609.6199999999998	609.6199999999998	609.6199999999998	609.6199999999998	609.6199999999998	767.9399999999994
Los Angeles Philharmonic	Classical Music	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.17	14.34
GoGo Penguin	Jazz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.0	54.0	54.0	78.37	78.37	78.37	78.37	78.37	78.37	78.37	78.37	78.37	78.37	78.37	78.37	78.37	78.37	106.02999999999999	106.02999999999999	106.02999999999999	106.02999999999999	106.02999999999999	106.02999999999999	106.02999999999999	106.02999999999999	106.02999999999999	109.97999999999999
The Dear Hunter	Symphonic Rock	0	0	0	0	0	0	119.72999999999998	160.73999999999995	160.73999999999995	160.73999999999995	407.15999999999997	530.5599999999998	530.5599999999998	530.5599999999998	530.5599999999998	530.5599999999998	530.5599999999998	559.0999999999998	559.0999999999998	559.0999999999998	559.0999999999998	611.3100000000001	611.3100000000001	611.3100000000001	611.3100000000001	611.3100000000001	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	722.8200000000005	759.2500000000003	759.2500000000003	759.2500000000003	818.5400000000003	818.5400000000003	853.6300000000002	853.6300000000002	888.9800000000001	888.9800000000001	916.8200000000002	978.5000000000001	987.9800000000002	987.9800000000002
Swans	Art Rock	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.85	27.85	27.85	27.85	94.93	94.93	110.13	172.05999999999997	172.05999999999997	239.13999999999996	239.13999999999996
Mr. Bungle	Art Rock	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.17999999999999	44.17999999999999
Roine Stolt	Progressive Blues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	74.57000000000001	109.71000000000002	120.88000000000002	128.71	128.71	128.71	128.71	128.71	128.71	128.71	145.48999999999998	145.48999999999998	145.48999999999998
Riverside	Progressive Metal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.240000000000002	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	46.879999999999995	97.74	97.74	97.74
Closure In Moscow	Progressive Rock	0	0	0	0	0	7.58	17.36	17.36	34.72	86.13000000000001	143.17000000000004	143.17000000000004	143.17000000000004	143.17000000000004	143.17000000000004	143.17000000000004	143.17000000000004	143.17000000000004	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	170.03000000000006	179.81000000000006	179.81000000000006	179.81000000000006
