Title;Artist;Genre;Duration(s);Duration(m)
Sammy Jammy;Sam Greenfield;Jazz;260;4.33
Snake Charmer;Sam Greenfield;Jazz;56;0.93
Check Your DMs;Sam Greenfield;Jazz;198;3.3
Doggie Bello (feat. Augie Bello);Sam Greenfield;Jazz;225;3.75
Kidz Bop (feat. Jon Lampley);Sam Greenfield;Jazz;299;4.98
Just One Of Those Days;Sam Greenfield;Jazz;203;3.38
Chips & Dip;Sam Greenfield;Jazz;61;1.02
In The Clouds;Sam Greenfield;Jazz;199;3.32
Mom & Dad;Sam Greenfield;Jazz;213;3.55
Simulation;Sam Greenfield;Jazz;49;0.82
Homeroom Crush (feat. Mark Lettieri);Sam Greenfield;Jazz;279;4.65
Shep's Fitness Assessment;We Used to Cut the Grass;Jazz Fusion;256;4.27
Shep's Enthusiasm;We Used to Cut the Grass;Jazz Fusion;171;2.85
Shep's Mishap;We Used to Cut the Grass;Jazz Fusion;257;4.28
Shep's Anxiety;We Used to Cut the Grass;Jazz Fusion;300;5.0
Shep's Nightcap;We Used to Cut the Grass;Jazz Fusion;311;5.18
Shep's Lounge;We Used to Cut the Grass;Jazz Fusion;488;8.13
DEVO Variations;We Used to Cut the Grass;Jazz Fusion;264;4.4
Visitors Pomp II;We Used to Cut the Grass;Jazz Fusion;121;2.02
Visitors Pomp I;We Used to Cut the Grass;Jazz Fusion;299;4.98
Woodpecker;We Used to Cut the Grass;Jazz Fusion;451;7.52
Lay Down Scully;We Used to Cut the Grass;Jazz Fusion;474;7.9
The Fourth Colour;King Gizzard & the Lizard Wizard;Psychedelic Rock;372;6.2
Searching…;King Gizzard & the Lizard Wizard;Psychedelic Rock;183;3.05
Tetrachromacy;King Gizzard & the Lizard Wizard;Psychedelic Rock;210;3.5
Horology;King Gizzard & the Lizard Wizard;Psychedelic Rock;172;2.87
Loyalty;King Gizzard & the Lizard Wizard;Psychedelic Rock;218;3.63
Inner Cell;King Gizzard & the Lizard Wizard;Psychedelic Rock;235;3.92
Deserted Dunes Welcome Weary Feet;King Gizzard & the Lizard Wizard;Psychedelic Rock;213;3.55
The Castle In The Air;King Gizzard & the Lizard Wizard;Psychedelic Rock;167;2.78
Polygondwanaland;King Gizzard & the Lizard Wizard;Psychedelic Rock;212;3.53
Crumbling Castle;King Gizzard & the Lizard Wizard;Progressive Metal;644;10.73
2.02 Killer Year;King Gizzard & the Lizard Wizard;Psychedelic Rock;199;3.32
Catching Smoke;King Gizzard & the Lizard Wizard;Psychedelic Rock;389;6.48
Interior People;King Gizzard & the Lizard Wizard;Psychedelic Rock;316;5.27
Blue Morpho;King Gizzard & the Lizard Wizard;Psychedelic Rock;231;3.85
Dreams;King Gizzard & the Lizard Wizard;Psychedelic Rock;245;4.08
Shanghai;King Gizzard & the Lizard Wizard;Psychedelic Rock;241;4.02
Yours;King Gizzard & the Lizard Wizard;Psychedelic Rock;276;4.6
See Me;King Gizzard & the Lizard Wizard;Psychedelic Rock;245;4.08
Ataraxia;King Gizzard & the Lizard Wizard;Psychedelic Rock;318;5.3
East West Link;King Gizzard & the Lizard Wizard;Psychedelic Rock;189;3.15
Static Electricity;King Gizzard & the Lizard Wizard;Psychedelic Rock;350;5.83
Supreme Ascendancy;King Gizzard & the Lizard Wizard;Psychedelic Rock;220;3.67
Pleura;King Gizzard & the Lizard Wizard;Psychedelic Rock;252;4.2
O.N.E.;King Gizzard & the Lizard Wizard;Psychedelic Rock;221;3.68
If Not Now, Then When?;King Gizzard & the Lizard Wizard;Psychedelic Rock;229;3.82
Flying Microtonal Banana;King Gizzard & the Lizard Wizard;Psychedelic Rock;154;2.57
Nuclear Fusion;King Gizzard & the Lizard Wizard;Psychedelic Rock;255;4.25
Doom City;King Gizzard & the Lizard Wizard;Psychedelic Rock;194;3.23
